Тип мероприятия,Формат мероприятия,Место проведения,Количество участников,Периодичность
Уход за парком,Индивидуальное,Лосиный Остров,140,Раз в месяц
Эко-лекция,Групповое,Зеленоград,482,Еженедельно
Субботник,Групповое,Лосиный Остров,242,Раз в год
Уборка территории,Индивидуальное,Парк Горького,279,Раз в год
Насаждение деревьев,Индивидуальное,Мытищи,215,Еженедельно
Субботник,Индивидуальное,Лосиный Остров,281,Еженедельно
Уборка территории,Индивидуальное,Химки,66,Раз в месяц
Субботник,Групповое,Парк Горького,420,Раз в месяц
Эко-лекция,Индивидуальное,Люблино,118,Раз в месяц
Уборка территории,Индивидуальное,Воробьевы горы,493,Еженедельно
Эко-лекция,Индивидуальное,Воробьевы горы,21,Раз в год
Насаждение деревьев,Индивидуальное,Сокольники,389,Раз в год
Субботник,Групповое,Химки,217,Раз в месяц
Эко-лекция,Групповое,Измайловский парк,225,Раз в месяц
Уход за парком,Волонтерская деятельность,Лосиный Остров,348,Раз в месяц
Эко-лекция,Групповое,Химки,65,Еженедельно
Уход за парком,Волонтерская деятельность,Лосиный Остров,170,Раз в месяц
Уход за парком,Волонтерская деятельность,Мытищи,324,Раз в год
Уборка территории,Индивидуальное,Химки,80,Раз в месяц
Уборка территории,Волонтерская деятельность,Мытищи,237,Раз в месяц
Уборка территории,Индивидуальное,Парк Горького,448,Еженедельно
Насаждение деревьев,Групповое,Крылатское,272,Раз в месяц
Уборка территории,Индивидуальное,Люблино,166,Еженедельно
Эко-лекция,Индивидуальное,Сокольники,181,Раз в год
Уборка территории,Групповое,Битцевский лес,474,Раз в месяц
Субботник,Волонтерская деятельность,Лосиный Остров,429,Раз в месяц
Субботник,Индивидуальное,Воробьевы горы,55,Раз в год
Насаждение деревьев,Индивидуальное,Люблино,333,Раз в месяц
Насаждение деревьев,Индивидуальное,Измайловский парк,48,Раз в месяц
Субботник,Волонтерская деятельность,Битцевский лес,13,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Мытищи,103,Раз в год
Субботник,Групповое,Воробьевы горы,355,Раз в год
Насаждение деревьев,Индивидуальное,Химки,341,Раз в год
Эко-лекция,Индивидуальное,Люблино,305,Еженедельно
Уход за парком,Групповое,Парк Горького,360,Еженедельно
Насаждение деревьев,Групповое,Зеленоград,290,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Зеленоград,50,Еженедельно
Уборка территории,Групповое,Подольск,291,Раз в месяц
Уборка территории,Групповое,Химки,195,Раз в год
Уборка территории,Волонтерская деятельность,Парк Горького,356,Раз в месяц
Субботник,Волонтерская деятельность,Люблино,487,Еженедельно
Уборка территории,Групповое,Зеленоград,495,Раз в год
Субботник,Индивидуальное,Сокольники,20,Раз в год
Субботник,Волонтерская деятельность,Подольск,427,Еженедельно
Насаждение деревьев,Групповое,Сокольники,325,Еженедельно
Эко-лекция,Волонтерская деятельность,Сокольники,473,Раз в месяц
Эко-лекция,Групповое,Сокольники,499,Еженедельно
Уборка территории,Волонтерская деятельность,Лосиный Остров,65,Еженедельно
Субботник,Индивидуальное,Лосиный Остров,388,Еженедельно
Насаждение деревьев,Индивидуальное,Химки,184,Еженедельно
Уборка территории,Индивидуальное,Парк Горького,228,Еженедельно
Субботник,Индивидуальное,Сокольники,25,Раз в год
Субботник,Индивидуальное,Битцевский лес,199,Раз в месяц
Уход за парком,Волонтерская деятельность,Подольск,196,Раз в год
Уход за парком,Волонтерская деятельность,Химки,10,Раз в год
Насаждение деревьев,Групповое,Измайловский парк,423,Раз в месяц
Субботник,Индивидуальное,Парк Горького,100,Еженедельно
Насаждение деревьев,Групповое,Зеленоград,8,Еженедельно
Уборка территории,Волонтерская деятельность,Парк Горького,48,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Битцевский лес,219,Еженедельно
Уборка территории,Волонтерская деятельность,Битцевский лес,224,Раз в год
Уборка территории,Индивидуальное,Сокольники,368,Раз в год
Субботник,Волонтерская деятельность,Сокольники,443,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,436,Раз в год
Эко-лекция,Волонтерская деятельность,Битцевский лес,143,Раз в год
Уборка территории,Волонтерская деятельность,Сокольники,371,Раз в месяц
Эко-лекция,Индивидуальное,Люблино,409,Раз в год
Уборка территории,Волонтерская деятельность,Зеленоград,422,Еженедельно
Уход за парком,Групповое,Измайловский парк,213,Еженедельно
Уборка территории,Волонтерская деятельность,Лосиный Остров,416,Еженедельно
Уборка территории,Индивидуальное,Лосиный Остров,123,Еженедельно
Эко-лекция,Групповое,Подольск,439,Раз в год
Эко-лекция,Индивидуальное,Лосиный Остров,265,Раз в год
Насаждение деревьев,Индивидуальное,Измайловский парк,54,Еженедельно
Уборка территории,Волонтерская деятельность,Сокольники,216,Еженедельно
Уход за парком,Групповое,Химки,152,Еженедельно
Субботник,Групповое,Крылатское,70,Раз в год
Субботник,Волонтерская деятельность,Сокольники,338,Раз в месяц
Уборка территории,Индивидуальное,Парк Горького,216,Еженедельно
Уборка территории,Индивидуальное,Мытищи,257,Раз в год
Субботник,Групповое,Химки,269,Еженедельно
Уборка территории,Индивидуальное,Крылатское,168,Еженедельно
Уход за парком,Групповое,Измайловский парк,76,Раз в месяц
Эко-лекция,Волонтерская деятельность,Воробьевы горы,444,Раз в месяц
Насаждение деревьев,Индивидуальное,Лосиный Остров,373,Раз в месяц
Насаждение деревьев,Групповое,Битцевский лес,497,Раз в год
Уборка территории,Индивидуальное,Сокольники,22,Раз в год
Субботник,Индивидуальное,Сокольники,145,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Парк Горького,111,Раз в месяц
Уход за парком,Волонтерская деятельность,Люблино,491,Раз в месяц
Субботник,Волонтерская деятельность,Измайловский парк,217,Раз в год
Субботник,Волонтерская деятельность,Лосиный Остров,78,Еженедельно
Насаждение деревьев,Групповое,Люблино,50,Раз в месяц
Субботник,Индивидуальное,Парк Горького,34,Раз в год
Уход за парком,Групповое,Сокольники,423,Еженедельно
Уход за парком,Групповое,Парк Горького,265,Раз в год
Уборка территории,Индивидуальное,Парк Горького,27,Раз в год
Эко-лекция,Групповое,Сокольники,223,Еженедельно
Насаждение деревьев,Групповое,Парк Горького,171,Раз в год
Эко-лекция,Индивидуальное,Химки,492,Раз в месяц
Уборка территории,Групповое,Сокольники,357,Раз в год
Уборка территории,Индивидуальное,Битцевский лес,382,Еженедельно
Эко-лекция,Индивидуальное,Лосиный Остров,491,Раз в месяц
Эко-лекция,Групповое,Химки,9,Раз в месяц
Уход за парком,Групповое,Химки,36,Раз в месяц
Субботник,Индивидуальное,Битцевский лес,148,Раз в год
Уборка территории,Индивидуальное,Химки,453,Раз в год
Эко-лекция,Индивидуальное,Сокольники,435,Раз в месяц
Субботник,Волонтерская деятельность,Химки,124,Раз в месяц
Субботник,Индивидуальное,Парк Горького,483,Раз в год
Субботник,Групповое,Сокольники,261,Раз в месяц
Уход за парком,Групповое,Люблино,325,Раз в год
Уход за парком,Групповое,Измайловский парк,68,Еженедельно
Уборка территории,Волонтерская деятельность,Подольск,250,Еженедельно
Эко-лекция,Индивидуальное,Химки,381,Раз в месяц
Эко-лекция,Волонтерская деятельность,Мытищи,208,Еженедельно
Уход за парком,Индивидуальное,Лосиный Остров,478,Раз в месяц
Субботник,Групповое,Мытищи,179,Еженедельно
Уход за парком,Индивидуальное,Крылатское,316,Раз в месяц
Субботник,Групповое,Лосиный Остров,419,Еженедельно
Субботник,Групповое,Воробьевы горы,226,Еженедельно
Уход за парком,Групповое,Химки,117,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Парк Горького,442,Раз в месяц
Субботник,Групповое,Лосиный Остров,459,Раз в год
Уборка территории,Индивидуальное,Химки,451,Раз в месяц
Уход за парком,Групповое,Парк Горького,392,Еженедельно
Эко-лекция,Групповое,Подольск,238,Еженедельно
Уборка территории,Волонтерская деятельность,Подольск,492,Еженедельно
Насаждение деревьев,Групповое,Лосиный Остров,184,Еженедельно
Уход за парком,Индивидуальное,Лосиный Остров,354,Раз в год
Уборка территории,Групповое,Люблино,213,Раз в год
Уборка территории,Волонтерская деятельность,Сокольники,10,Еженедельно
Уход за парком,Групповое,Воробьевы горы,411,Еженедельно
Уборка территории,Групповое,Сокольники,286,Раз в год
Насаждение деревьев,Групповое,Люблино,36,Раз в месяц
Насаждение деревьев,Индивидуальное,Воробьевы горы,277,Раз в год
Субботник,Волонтерская деятельность,Измайловский парк,37,Раз в месяц
Насаждение деревьев,Групповое,Измайловский парк,382,Еженедельно
Эко-лекция,Волонтерская деятельность,Подольск,193,Еженедельно
Эко-лекция,Групповое,Битцевский лес,8,Еженедельно
Субботник,Индивидуальное,Зеленоград,225,Раз в год
Уход за парком,Групповое,Мытищи,165,Раз в год
Насаждение деревьев,Волонтерская деятельность,Люблино,110,Раз в месяц
Эко-лекция,Групповое,Люблино,351,Раз в год
Субботник,Групповое,Зеленоград,386,Раз в год
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,398,Еженедельно
Эко-лекция,Волонтерская деятельность,Битцевский лес,152,Еженедельно
Уборка территории,Волонтерская деятельность,Подольск,169,Раз в год
Насаждение деревьев,Групповое,Крылатское,55,Раз в год
Уборка территории,Групповое,Крылатское,278,Еженедельно
Уборка территории,Групповое,Крылатское,384,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Лосиный Остров,192,Раз в месяц
Субботник,Групповое,Воробьевы горы,297,Еженедельно
Уборка территории,Индивидуальное,Крылатское,332,Еженедельно
Насаждение деревьев,Индивидуальное,Измайловский парк,437,Раз в год
Уборка территории,Групповое,Битцевский лес,254,Раз в месяц
Эко-лекция,Волонтерская деятельность,Сокольники,125,Раз в год
Эко-лекция,Индивидуальное,Люблино,199,Раз в год
Уход за парком,Групповое,Воробьевы горы,265,Раз в месяц
Субботник,Волонтерская деятельность,Химки,325,Еженедельно
Насаждение деревьев,Групповое,Битцевский лес,66,Еженедельно
Субботник,Групповое,Сокольники,171,Раз в год
Субботник,Волонтерская деятельность,Воробьевы горы,244,Еженедельно
Уборка территории,Индивидуальное,Парк Горького,17,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Лосиный Остров,210,Еженедельно
Насаждение деревьев,Групповое,Измайловский парк,492,Раз в месяц
Субботник,Групповое,Подольск,126,Еженедельно
Насаждение деревьев,Групповое,Битцевский лес,108,Раз в год
Субботник,Индивидуальное,Мытищи,498,Раз в год
Насаждение деревьев,Индивидуальное,Крылатское,336,Еженедельно
Уборка территории,Групповое,Сокольники,261,Раз в год
Субботник,Групповое,Сокольники,487,Еженедельно
Уход за парком,Волонтерская деятельность,Химки,193,Раз в месяц
Уборка территории,Волонтерская деятельность,Битцевский лес,148,Еженедельно
Уход за парком,Индивидуальное,Люблино,341,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Воробьевы горы,219,Раз в месяц
Уход за парком,Волонтерская деятельность,Крылатское,477,Еженедельно
Уборка территории,Индивидуальное,Зеленоград,356,Раз в месяц
Насаждение деревьев,Групповое,Химки,320,Раз в год
Уход за парком,Групповое,Мытищи,397,Раз в месяц
Уход за парком,Групповое,Мытищи,235,Раз в год
Эко-лекция,Волонтерская деятельность,Воробьевы горы,70,Раз в год
Уход за парком,Индивидуальное,Зеленоград,181,Раз в год
Уход за парком,Групповое,Лосиный Остров,135,Еженедельно
Эко-лекция,Групповое,Мытищи,414,Раз в месяц
Уход за парком,Групповое,Зеленоград,18,Еженедельно
Уход за парком,Волонтерская деятельность,Крылатское,17,Раз в месяц
Насаждение деревьев,Групповое,Парк Горького,71,Раз в месяц
Эко-лекция,Волонтерская деятельность,Мытищи,35,Еженедельно
Субботник,Групповое,Битцевский лес,266,Еженедельно
Уборка территории,Индивидуальное,Люблино,232,Раз в год
Эко-лекция,Волонтерская деятельность,Крылатское,208,Раз в месяц
Эко-лекция,Индивидуальное,Парк Горького,139,Раз в год
Насаждение деревьев,Волонтерская деятельность,Парк Горького,391,Еженедельно
Уход за парком,Групповое,Химки,368,Раз в месяц
Эко-лекция,Волонтерская деятельность,Крылатское,300,Раз в месяц
Насаждение деревьев,Групповое,Парк Горького,158,Раз в месяц
Уборка территории,Индивидуальное,Парк Горького,392,Раз в год
Субботник,Индивидуальное,Крылатское,7,Раз в месяц
Уход за парком,Волонтерская деятельность,Мытищи,33,Раз в месяц
Субботник,Индивидуальное,Сокольники,138,Раз в месяц
Уход за парком,Волонтерская деятельность,Химки,34,Еженедельно
Субботник,Индивидуальное,Крылатское,194,Раз в год
Эко-лекция,Групповое,Лосиный Остров,123,Раз в год
Субботник,Волонтерская деятельность,Сокольники,485,Еженедельно
Эко-лекция,Групповое,Зеленоград,34,Еженедельно
Эко-лекция,Индивидуальное,Химки,67,Раз в год
Уборка территории,Индивидуальное,Люблино,484,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Крылатское,138,Раз в месяц
Уход за парком,Волонтерская деятельность,Химки,7,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Подольск,476,Раз в месяц
Уход за парком,Индивидуальное,Воробьевы горы,370,Еженедельно
Насаждение деревьев,Волонтерская деятельность,Химки,145,Раз в год
Эко-лекция,Групповое,Парк Горького,216,Раз в год
Эко-лекция,Групповое,Лосиный Остров,338,Раз в год
Уборка территории,Индивидуальное,Сокольники,174,Еженедельно
Эко-лекция,Групповое,Люблино,26,Раз в месяц
Эко-лекция,Групповое,Химки,32,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Мытищи,476,Раз в месяц
Уборка территории,Волонтерская деятельность,Крылатское,216,Еженедельно
Уход за парком,Индивидуальное,Подольск,124,Раз в год
Уборка территории,Индивидуальное,Сокольники,497,Раз в месяц
Насаждение деревьев,Индивидуальное,Сокольники,104,Еженедельно
Уход за парком,Групповое,Парк Горького,190,Раз в месяц
Уход за парком,Волонтерская деятельность,Подольск,220,Раз в месяц
Насаждение деревьев,Групповое,Крылатское,109,Раз в год
Субботник,Групповое,Люблино,318,Еженедельно
Эко-лекция,Групповое,Зеленоград,497,Раз в год
Уход за парком,Индивидуальное,Люблино,145,Еженедельно
Уход за парком,Волонтерская деятельность,Подольск,184,Еженедельно
Эко-лекция,Индивидуальное,Зеленоград,383,Еженедельно
Уход за парком,Волонтерская деятельность,Зеленоград,347,Раз в год
Субботник,Волонтерская деятельность,Парк Горького,463,Еженедельно
Насаждение деревьев,Индивидуальное,Подольск,238,Раз в год
Уход за парком,Волонтерская деятельность,Мытищи,290,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Парк Горького,229,Еженедельно
Уборка территории,Волонтерская деятельность,Измайловский парк,159,Раз в месяц
Уход за парком,Индивидуальное,Лосиный Остров,174,Еженедельно
Субботник,Индивидуальное,Парк Горького,225,Раз в месяц
Эко-лекция,Групповое,Зеленоград,283,Раз в месяц
Субботник,Индивидуальное,Мытищи,283,Еженедельно
Уход за парком,Волонтерская деятельность,Парк Горького,146,Раз в месяц
Насаждение деревьев,Групповое,Сокольники,316,Еженедельно
Уход за парком,Групповое,Подольск,352,Еженедельно
Уход за парком,Индивидуальное,Химки,15,Раз в год
Уход за парком,Индивидуальное,Парк Горького,478,Раз в год
Субботник,Групповое,Измайловский парк,14,Раз в месяц
Субботник,Групповое,Мытищи,444,Еженедельно
Субботник,Групповое,Воробьевы горы,403,Раз в год
Субботник,Индивидуальное,Крылатское,134,Раз в месяц
Субботник,Волонтерская деятельность,Люблино,477,Раз в год
Уборка территории,Групповое,Подольск,407,Раз в год
Уход за парком,Волонтерская деятельность,Подольск,318,Еженедельно
Уход за парком,Волонтерская деятельность,Измайловский парк,170,Раз в месяц
Эко-лекция,Волонтерская деятельность,Химки,486,Раз в год
Эко-лекция,Индивидуальное,Сокольники,424,Еженедельно
Уборка территории,Индивидуальное,Химки,406,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Парк Горького,158,Еженедельно
Насаждение деревьев,Групповое,Битцевский лес,319,Раз в месяц
Уборка территории,Волонтерская деятельность,Измайловский парк,358,Еженедельно
Уборка территории,Волонтерская деятельность,Лосиный Остров,112,Еженедельно
Уход за парком,Волонтерская деятельность,Воробьевы горы,240,Еженедельно
Уборка территории,Групповое,Лосиный Остров,39,Раз в месяц
Насаждение деревьев,Индивидуальное,Зеленоград,363,Раз в год
Эко-лекция,Волонтерская деятельность,Парк Горького,126,Раз в месяц
Эко-лекция,Индивидуальное,Люблино,163,Раз в год
Эко-лекция,Групповое,Мытищи,98,Раз в год
Насаждение деревьев,Волонтерская деятельность,Парк Горького,104,Раз в месяц
Насаждение деревьев,Групповое,Сокольники,385,Раз в год
Уборка территории,Индивидуальное,Битцевский лес,458,Раз в месяц
Насаждение деревьев,Волонтерская деятельность,Люблино,289,Раз в год
Эко-лекция,Групповое,Лосиный Остров,197,Раз в год
Эко-лекция,Групповое,Измайловский парк,105,Еженедельно
Субботник,Групповое,Битцевский лес,67,Еженедельно
Уборка территории,Волонтерская деятельность,Подольск,163,Еженедельно
Эко-лекция,Волонтерская деятельность,Зеленоград,314,Еженедельно
Насаждение деревьев,Индивидуальное,Битцевский лес,158,Раз в месяц
Уборка территории,Индивидуальное,Мытищи,90,Раз в месяц
Эко-лекция,Групповое,Измайловский парк,25,Раз в месяц
Эко-лекция,Индивидуальное,Люблино,276,Раз в год
Эко-лекция,Групповое,Люблино,146,Раз в год
Субботник,Индивидуальное,Люблино,459,Раз в год
Субботник,Групповое,Люблино,39,Еженедельно
Насаждение деревьев,Групповое,Крылатское,475,Раз в год
Субботник,Групповое,Мытищи,251,Раз в год
Эко-лекция,Волонтерская деятельность,Парк Горького,448,Раз в месяц
